Institution Name ,Cert ,FIN ,Location ,Effective Date ,Ins. Fund ,Transaction Type ,Charter Class ,Failure / Assistance ,Total Deposits ,Total Assets ,Estimated Loss 12/31/2016
AZTECAMERICA BANK,57866,10498,"BERWYN, IL",5/16/2014,DIF,PA ,NM ,FAILURE,"65,031","66,309","21,715"
ALLENDALE COUNTY BANK,15062,10497,"FAIRFAX, SC",4/25/2014,DIF,PA ,NM ,FAILURE,"49,356","49,498","22,648"
VANTAGE POINT BANK,58531,10496,"HORSHAM, PA",2/28/2014,DIF,PA ,NM ,FAILURE,"62,472","63,453","9,358"
"MILLENNIUM BANK, NATIONAL ASSOCIATION",35096,10495,"STERLING, VA",2/28/2014,DIF,PA ,N ,FAILURE,"121,704","130,305","11,609"
SYRINGA BANK,34296,10494,"BOISE, ID",1/31/2014,DIF,PA ,NM ,FAILURE,"145,813","153,361","3,487"
THE  BANK OF UNION,17967,10493,"EL RENO, OK",1/24/2014,DIF,PA ,NM ,FAILURE,"315,843","317,172","97,605"
DUPAGE NATIONAL BANK,5732,10492,"WEST CHICAGO, IL",1/17/2014,DIF,PA ,N ,FAILURE,"51,878","53,524","1,530"
"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",57431,10491,"THE WOODLANDS, TX",12/13/2013,DIF,PA ,N ,FAILURE,"142,640","159,257","14,625"
BANK OF JACKSON COUNTY,14794,10490,"GRACEVILLE, FL",10/30/2013,DIF,PA ,NM ,FAILURE,"24,591","24,724","5,849"
FIRST NATIONAL BANK,14318,10488,"EDINBURG, TX",9/13/2013,DIF,PA ,N ,FAILURE,"2,338,335","3,085,764","647,440"
THE COMMUNITY'S BANK,57041,10489,"BRIDGEPORT, CT",9/13/2013,DIF,PO ,NM ,FAILURE,"25,715","26,368","9,211"
COMMUNITY SOUTH BANK,19849,10486,"PARSONS, TN",8/23/2013,DIF,PA ,NM ,FAILURE,"377,672","386,908","134,396"
SUNRISE BANK OF ARIZONA,34707,10487,"PHOENIX, AZ",8/23/2013,DIF,PA ,NM ,FAILURE,"196,924","202,179","15,391"
BANK OF WAUSAU,35016,10485,"WAUSAU, WI",8/9/2013,DIF,PA ,NM ,FAILURE,"40,663","43,564","14,135"
FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,34943,10484,"FORT MYERS, FL",8/2/2013,DIF,PA ,NM ,FAILURE,"243,618","247,315","24,933"
MOUNTAIN NATIONAL BANK,34789,10483,"SEVIERVILLE, TN",6/7/2013,DIF,PA ,N ,FAILURE,"373,366","437,282","33,292"
1ST COMMERCE BANK,58358,10482,"NORTH LAS VEGAS, NV",6/6/2013,DIF,PA ,NM ,FAILURE,"19,579","20,152","6,223"
BANKS OF WISCONSIN,35386,10478,"KENOSHA, WI",5/31/2013,DIF,PA ,NM ,FAILURE,"127,590","134,024","23,567"
CENTRAL ARIZONA BANK,34527,10479,"SCOTTSDALE, AZ",5/14/2013,DIF,PA ,NM ,FAILURE,"30,822","31,550","5,425"
SUNRISE BANK,58185,10481,"VALDOSTA, GA",5/10/2013,DIF,PA ,NM ,FAILURE,"57,775","60,793","18,924"
PISGAH COMMUNITY BANK,58701,10480,"ASHEVILLE, NC",5/10/2013,DIF,PA ,NM ,FAILURE,"21,246","21,880","7,943"
DOUGLAS COUNTY BANK,21649,10476,"DOUGLASVILLE, GA",4/26/2013,DIF,PA ,NM ,FAILURE,"315,326","317,288","97,102"
PARKWAY BANK,57158,10477,"LENOIR, NC",4/26/2013,DIF,PA ,NM ,FAILURE,"104,709","109,642","16,490"
CHIPOLA COMMUNITY BANK,58034,10473,"MARIANNA, FL",4/19/2013,DIF,PA ,NM ,FAILURE,"37,067","37,471","7,920"
HERITAGE BANK OF NORTH FLORIDA,26680,10475,"ORANGE PARK, FL",4/19/2013,DIF,PA ,NM ,FAILURE,"106,348","103,960","25,231"
FIRST FEDERAL BANK,29594,10474,"LEXINGTON, KY",4/19/2013,DIF,PA ,SA ,FAILURE,"87,196","92,982","7,767"
GOLD CANYON BANK,58066,10472,"GOLD CANYON, AZ",4/5/2013,DIF,PA ,SM ,FAILURE,"41,728","42,125","8,263"
FRONTIER BANK,16431,10471,"LAGRANGE, GA",3/8/2013,DIF,PA ,NM ,FAILURE,"224,108","258,840","74,344"
COVENANT BANK,22476,10470,"CHICAGO, IL",2/15/2013,DIF,PA ,NM ,FAILURE,"54,202","58,422","19,576"
1ST REGENTS BANK,57157,10469,"ANDOVER, MN",1/18/2013,DIF,PA ,NM ,FAILURE,"49,147","49,626","12,229"
WESTSIDE COMMUNITY BANK,33997,10468,"UNIVERSITY PLACE, WA",1/11/2013,DIF,PA ,NM ,FAILURE,"91,879","91,935","22,860"
COMMUNITY BANK OF THE OZARKS,27331,10467,"SUNRISE, MO",12/14/2012,DIF,PA ,NM ,FAILURE,"41,881","42,816","15,044"
HOMETOWN COMMUNITYBANK,57928,10466,"BRASELTON, GA",11/16/2012,DIF,PA ,NM ,FAILURE,"108,931","124,561","39,665"
HERITAGE BANK OF FLORIDA,35009,10465,"LUTZ, FL",11/2/2012,DIF,PA ,NM ,FAILURE,"223,309","225,477","76,094"
CITIZENS FIRST NATIONAL BANK,3731,10464,"PRINCETON, IL",11/2/2012,DIF,PA ,N ,FAILURE,"869,440","923,959","33,033"
NOVA BANK,27148,10463,"BERWYN, PA",10/26/2012,DIF,PO ,SB ,FAILURE,"395,248","444,710","90,508"
EXCEL BANK,19189,10460,"SEDALIA, MO",10/19/2012,DIF,PA ,NM ,FAILURE,"173,670","186,113","29,104"
FIRST EAST SIDE SAVINGS BANK,28144,10461,"TAMARAC, FL",10/19/2012,DIF,PA ,SA ,FAILURE,"64,888","65,686","12,370"
GULFSOUTH PRIVATE BANK,58073,10462,"DESTIN, FL",10/19/2012,DIF,PA ,NM ,FAILURE,"131,579","139,391","45,347"
FIRST UNITED BANK,20685,10459,"CRETE, IL",9/28/2012,DIF,PA ,NM ,FAILURE,"316,877","328,422","43,765"
TRUMAN BANK,27316,10458,"ST. LOUIS, MO",9/14/2012,DIF,PA ,SM ,FAILURE,"245,716","282,338","39,498"
FIRST COMMERCIAL BANK,35246,10457,"BLOOMINGTON, MN",9/7/2012,DIF,PA ,NM ,FAILURE,"206,809","215,867","65,238"
WAUKEGAN SAVINGS BANK,28243,10456,"WAUKEGAN, IL",8/3/2012,DIF,PA ,SB ,FAILURE,"73,001","83,679","23,518"
JASPER BANKING COMPANY,16240,10455,"JASPER, GA",7/27/2012,DIF,PA ,NM ,FAILURE,"204,238","206,672","53,178"
SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,27986,10453,"CHICAGO, IL",7/20/2012,DIF,PA ,SA ,FAILURE,"171,627","190,891","86,692"
HEARTLAND BANK,1361,10452,"LEAWOOD, KS",7/20/2012,DIF,PA ,NM ,FAILURE,"89,723","96,002",636
GEORGIA TRUST BANK,57847,10451,"BUFORD, GA",7/20/2012,DIF,PA ,NM ,FAILURE,"114,748","116,890","25,525"
THE ROYAL PALM BANK OF FLORIDA,57096,10454,"NAPLES, FL",7/20/2012,DIF,PA ,NM ,FAILURE,"78,876","78,771","16,848"
FIRST CHEROKEE STATE BANK,32711,10450,"WOODSTOCK, GA",7/20/2012,DIF,PA ,NM ,FAILURE,"182,114","209,021","36,215"
GLASGOW SAVINGS BANK,1056,10449,"GLASGOW, MO",7/13/2012,DIF,PA ,NM ,FAILURE,"21,809","22,341","1,396"
MONTGOMERY BANK & TRUST,19498,10448,"AILEY, GA",7/6/2012,DIF,PA ,NM ,FAILURE,"164,181","153,208","73,148"
PUTNAM STATE BANK,27405,10445,"PALATKA, FL",6/15/2012,DIF,PA ,NM ,FAILURE,"160,024","169,489","29,815"
THE FARMERS BANK OF LYNCHBURG,1690,10447,"LYNCHBURG, TN",6/15/2012,DIF,PA ,NM ,FAILURE,"156,402","163,859","33,106"
SECURITY EXCHANGE BANK,35299,10446,"MARIETTA, GA",6/15/2012,DIF,PA ,NM ,FAILURE,"147,896","150,962","48,141"
CAROLINA FEDERAL SAVINGS BANK,35372,10441,"CHARLESTON, SC",6/8/2012,DIF,PA ,SA ,FAILURE,"53,082","54,373","18,529"
WACCAMAW BANK,34515,10444,"WHITEVILLE, NC",6/8/2012,DIF,PA ,SM ,FAILURE,"472,704","533,114","34,249"
FIRST CAPITAL BANK,416,10443,"KINGFISHER, OK",6/8/2012,DIF,PA ,NM ,FAILURE,"44,828","44,448","8,725"
FARMERS' AND TRADERS' STATE BANK,9257,10442,"SHABBONA, IL",6/8/2012,DIF,PA ,NM ,FAILURE,"42,302","43,077","10,201"
"ALABAMA TRUST BANK, NATIONAL ASSOCIATION",35224,10440,"SYLACAUGA, AL",5/18/2012,DIF,PA ,N ,FAILURE,"45,149","51,553","10,672"
"SECURITY BANK, NATIONAL ASSOCIATION",23156,10439,"NORTH LAUDERDALE, FL",5/4/2012,DIF,PA ,N ,FAILURE,"99,067","101,026","15,098"
PALM DESERT NATIONAL BANK,23632,10437,"PALM DESERT, CA",4/27/2012,DIF,PA ,N ,FAILURE,"129,023","129,253","26,331"
BANK OF THE EASTERN SHORE,26759,10434,"CAMBRIDGE, MD",4/27/2012,DIF,PO ,SM ,FAILURE,"150,951","162,460","61,641"
"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB",31495,10436,"MAPLE GROVE, MN",4/27/2012,DIF,PA ,SA ,FAILURE,"458,053","463,840","70,213"
PLANTATION FEDERAL BANK,32503,10438,"PAWLEYS ISLAND, SC",4/27/2012,DIF,PA ,SA ,FAILURE,"415,943","433,512","83,230"
HARVEST BANK OF MARYLAND,57766,10435,"GAITHERSBURG, MD",4/27/2012,DIF,PA ,NM ,FAILURE,"145,534","163,019","26,694"
"FORT LEE FEDERAL SAVINGS BANK, FSB",35527,10433,"FORT LEE, NJ",4/20/2012,DIF,PA ,SA ,FAILURE,"47,786","48,861","12,726"
FIDELITY BANK,33883,10432,"DEARBORN, MI",3/30/2012,DIF,PA ,NM ,FAILURE,"747,640","818,237","97,182"
CONVENANT BANK & TRUST,58068,10430,"ROCK SPRING, GA",3/23/2012,DIF,PA ,NM ,FAILURE,"90,632","95,725","31,695"
PREMIER BANK,35419,10431,"WILMETTE, IL",3/23/2012,DIF,PA ,NM ,FAILURE,"198,953","268,703","71,134"
NEW CITY BANK,57597,10429,"CHICAGO, IL",3/9/2012,DIF,PO ,NM ,FAILURE,"72,399","71,202","14,253"
GLOBAL COMMERCE BANK,34046,10428,"DORAVILLE, GA",3/2/2012,DIF,PA ,NM ,FAILURE,"116,813","143,678","41,445"
HOME SAVINGS OF AMERICA,29178,10427,"LITTLE FALLS, MN",2/24/2012,DIF,PO ,SA ,FAILURE,"432,223","434,111","70,307"
CENTRAL BANK OF GEORGIA,5687,10426,"ELLAVILLE, GA",2/24/2012,DIF,PA ,NM ,FAILURE,"266,589","278,860","53,990"
CHARTER NATIONAL BANK AND TRUST,23187,10424,"HOFFMAN ESTATES, IL",2/10/2012,DIF,PA ,N ,FAILURE,"89,485","93,894","20,202"
SCB BANK,29761,10425,"SHELBYVILLE, IN",2/10/2012,DIF,PA ,SA ,FAILURE,"171,365","182,561","39,698"
TENNESSEE COMMERCE BANK,35296,10423,"FRANKLIN, TN",1/27/2012,DIF,PA ,NM ,FAILURE,"1,037,716","1,009,154","351,638"
PATRIOT BANK MINNESOTA,34823,10422,"FOREST LAKE, MN",1/27/2012,DIF,PA ,NM ,FAILURE,"102,833","105,029","35,509"
BANKEAST,19869,10420,"KNOXVILLE, TN",1/27/2012,DIF,PA ,SM ,FAILURE,"259,571","261,947","74,064"
FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,16579,10421,"JACKSONVILLE, FL",1/27/2012,DIF,PA ,NM ,FAILURE,"378,309","397,082","54,383"
THE FIRST STATE BANK,19252,10419,"STOCKBRIDGE, GA",1/20/2012,DIF,PA ,NM ,FAILURE,"509,065","516,760","203,985"
AMERICAN EAGLE SAVINGS BANK,31581,10417,"BOOTHWYN, PA",1/20/2012,DIF,PA ,SA ,FAILURE,"17,548","19,259","4,842"
CENTRAL FLORIDA STATE BANK,57186,10418,"BELLEVIEW, FL",1/20/2012,DIF,PA ,NM ,FAILURE,"71,080","71,485","13,697"
WESTERN NATIONAL BANK,57917,10416,"PHOENIX, AZ",12/16/2011,DIF,PA ,N ,FAILURE,"144,491","162,872","41,735"
PREMIER COMMUNITY BANK OF THE EMERALD COAST,58343,10415,"CRESTVIEW, FL",12/16/2011,DIF,PA ,NM ,FAILURE,"112,050","125,976","25,167"
POLK COUNTY BANK,14194,10414,"JOHNSTON, IA",11/18/2011,DIF,PA ,NM ,FAILURE,"81,967","91,580","16,053"
CENTRAL PROGRESSIVE BANK,19657,10413,"LACOMBE, LA",11/18/2011,DIF,PA ,NM ,FAILURE,"347,720","383,132","48,824"
COMMUNITY BANK OF ROCKMART,57860,10412,"ROCKMART, GA",11/10/2011,DIF,PA ,NM ,FAILURE,"55,906","62,383","21,586"
"MID CITY BANK, INC.",19397,10410,"OMAHA, NE",11/4/2011,DIF,PA ,NM ,FAILURE,"105,461","106,075","14,114"
SUNFIRST BANK,57087,10411,"SAINT GEORGE, UT",11/4/2011,DIF,PA ,NM ,FAILURE,"169,135","198,081","43,693"
ALL AMERICAN BANK,57759,10409,"DES PLAINES, IL",10/28/2011,DIF,PA ,NM ,FAILURE,"30,542","34,800","13,801"
OLD HARBOR BANK,57537,10408,"CLEARWATER, FL",10/21/2011,DIF,PA ,NM ,FAILURE,"212,184","209,048","28,336"
COMMUNITY BANKS OF COLORADO,21132,10405,"GREENWOOD VILLAGE, CO",10/21/2011,DIF,PA ,SM ,FAILURE,"1,239,630","1,280,964","172,023"
DECATUR FIRST BANK,34392,10407,"DECATUR, GA",10/21/2011,DIF,PA ,NM ,FAILURE,"172,042","184,750","26,066"
COMMUNITY CAPITAL BANK,57036,10406,"JONESBORO, GA",10/21/2011,DIF,PA ,NM ,FAILURE,"157,808","165,291","64,965"
"BLUE RIDGE SAVINGS BANK, INC.",32347,10401,"ASHEVILLE, NC",10/14/2011,DIF,PA ,SB ,FAILURE,"159,628","161,430","44,376"
PIEDMONT COMMUNITY BANK,57256,10404,"GRAY, GA",10/14/2011,DIF,PA ,NM ,FAILURE,"178,773","198,993","88,194"
COUNTRY BANK,35395,10402,"ALEDO, IL",10/14/2011,DIF,PA ,NM ,FAILURE,"180,835","195,034","72,944"
FIRST STATE BANK,58046,10403,"CRANFORD, NJ",10/14/2011,DIF,PA ,NM ,FAILURE,"188,099","191,852","47,681"
SUN SECURITY BANK,20115,10400,"ELLINGTON, MO",10/7/2011,DIF,PA ,NM ,FAILURE,"280,649","351,492","93,168"
THE RIVERBANK,10216,10399,"WYOMING, MN",10/7/2011,DIF,PA ,NM ,FAILURE,"384,120","419,723","79,284"
FIRST INTERNATIONAL BANK,33513,10398,"PLANO, TX",9/30/2011,DIF,PA ,NM ,FAILURE,"208,775","239,916","58,022"
CITIZENS BANK OF NORTHERN CALIFORNIA,33983,10397,"NEVADA CITY, CA",9/23/2011,DIF,PA ,NM ,FAILURE,"253,079","288,765","41,059"
BANK OF THE COMMONWEALTH,20408,10396,"NORFOLK, VA",9/23/2011,DIF,PA ,SM ,FAILURE,"901,845","985,096","252,158"
THE FIRST NATIONAL BANK OF FLORIDA,25155,10395,"MILTON, FL",9/9/2011,DIF,PA ,N ,FAILURE,"280,095","296,841","76,066"
CREEKSIDE BANK,58226,10393,"WOODSTOCK, GA",9/2/2011,DIF,PA ,NM ,FAILURE,"96,583","102,338","34,280"
PATRIOT BANK OF GEORGIA,58273,10394,"CUMMING, GA",9/2/2011,DIF,PA ,NM ,FAILURE,"140,612","150,751","54,307"
LYDIAN PRIVATE BANK,35356,10392,"PALM BEACH, FL",8/19/2011,DIF,PA ,SA ,FAILURE,"1,253,835","1,700,117","190,852"
FIRST CHOICE BANK,57212,10390,"GENEVA, IL",8/19/2011,DIF,PA ,NM ,FAILURE,"137,215","141,016","34,064"
FIRST SOUTHERN NATIONAL BANK,57239,10391,"STATESBORO, GA",8/19/2011,DIF,PA ,N ,FAILURE,"159,673","164,599","22,679"
PUBLIC SAVINGS BANK,34130,10389,"HUNTINGDON VALLEY, PA",8/18/2011,DIF,PA ,SB ,FAILURE,"45,770","46,818","15,939"
THE FIRST NATIONAL BANK OF OLATHE,4744,10388,"OLATHE, KS",8/12/2011,DIF,PA ,N ,FAILURE,"524,290","538,091","103,842"
BANK OF WHITMAN,22528,10387,"COLFAX, WA",8/5/2011,DIF,PA ,SM ,FAILURE,"515,732","548,570","104,760"
BANK OF SHOREWOOD,22637,10386,"SHOREWOOD, IL",8/5/2011,DIF,PA ,NM ,FAILURE,"104,021","110,723","29,378"
INTEGRA BANK NATIONAL ASSOCIATION,4392,10384,"EVANSVILLE, IN",7/29/2011,DIF,PA ,N ,FAILURE,"1,693,592","1,994,430","89,107"
VIRGINIA BUSINESS BANK,58283,10385,"RICHMOND, VA",7/29/2011,DIF,PA ,SM ,FAILURE,"72,955","83,493","19,851"
"BANKMERIDIAN, N.A.",58222,10383,"COLUMBIA, SC",7/29/2011,DIF,PA ,N ,FAILURE,"209,737","232,648","49,444"
SOUTHSHORE COMMUNITY BANK,58056,10382,"APOLLO BEACH, FL",7/22/2011,DIF,PA ,NM ,FAILURE,"41,434","41,252","11,403"
BANK OF CHOICE,2994,10380,"GREELEY, CO",7/22/2011,DIF,PA ,NM ,FAILURE,"818,670","954,106","139,501"
LANDMARK BANK OF FLORIDA,35244,10381,"SARASOTA, FL",7/22/2011,DIF,PA ,SM ,FAILURE,"244,362","266,482","37,485"
FIRST PEOPLES BANK,34870,10376,"PORT SAINT LUCIE, FL",7/15/2011,DIF,PA ,NM ,FAILURE,"207,621","225,035","13,110"
HIGH TRUST BANK,19554,10377,"STOCKBRIDGE, GA",7/15/2011,DIF,PA ,NM ,FAILURE,"177,221","180,340","71,672"
ONE GEORGIA BANK,58238,10378,"ATLANTA, GA",7/15/2011,DIF,PA ,NM ,FAILURE,"158,123","177,715","40,898"
SUMMIT BANK,57442,10379,"PRESCOTT, AZ",7/15/2011,DIF,PA ,NM ,FAILURE,"67,471","73,066","14,868"
FIRST CHICAGO BANK & TRUST,27935,10374,"CHICAGO, IL",7/8/2011,DIF,PA ,SM ,FAILURE,"830,530","896,864","197,884"
COLORADO CAPITAL BANK,34522,10373,"CASTLE ROCK, CO",7/8/2011,DIF,PA ,NM ,FAILURE,"635,202","665,806","254,944"
SIGNATURE  BANK,57835,10375,"WINDSOR, CO",7/8/2011,DIF,PA ,NM ,FAILURE,"60,349","62,518","23,311"
MOUNTAIN HERITAGE BANK,57593,10372,"CLAYTON, GA",6/24/2011,DIF,PA ,NM ,FAILURE,"89,554","103,716","34,481"
MCINTOSH STATE BANK,19237,10371,"JACKSON, GA",6/17/2011,DIF,PA ,NM ,FAILURE,"324,403","339,929","78,350"
FIRST COMMERCIAL BANK OF TAMPA BAY,27583,10370,"TAMPA, FL",6/17/2011,DIF,PA ,NM ,FAILURE,"92,641","98,624","33,477"
ATLANTIC BANK AND TRUST,58420,10369,"CHARLESTON, SC",6/3/2011,DIF,PA ,SA ,FAILURE,"191,614","208,204","32,716"
FIRST HERITAGE BANK,23626,10368,"SNOHOMISH, WA",5/27/2011,DIF,PA ,NM ,FAILURE,"163,303","173,478","34,401"
ATLANTIC SOUTHERN BANK,57213,10365,"MACON, GA",5/20/2011,DIF,PA ,NM ,FAILURE,"707,643","741,855","282,023"
FIRST GEORGIA BANKING COMPANY,57647,10366,"FRANKLIN, GA",5/20/2011,DIF,PA ,NM ,FAILURE,"702,231","730,981","136,811"
SUMMIT BANK,513,10367,"BURLINGTON, WA",5/20/2011,DIF,PA ,NM ,FAILURE,"131,631","142,729","25,664"
COASTAL BANK,34898,10364,"COCOA BEACH, FL",5/6/2011,DIF,PA ,SA ,FAILURE,"123,950","129,429","18,527"
COMMUNITY CENTRAL BANK,34234,10359,"MOUNT CLEMENS, MI",4/29/2011,DIF,PA ,NM ,FAILURE,"371,494","451,683","98,808"
THE PARK AVENUE BANK,19797,10363,"VALDOSTA, GA",4/29/2011,DIF,PA ,SM ,FAILURE,"724,483","849,409","236,988"
FIRST NATIONAL BANK OF CENTRAL FLORIDA,26297,10362,"WINTER PARK, FL",4/29/2011,DIF,PA ,N ,FAILURE,"308,784","342,079","42,899"
CORTEZ COMMUNITY  BANK,57625,10360,"BROOKSVILLE, FL",4/29/2011,DIF,PA ,NM ,FAILURE,"65,439","66,282","17,194"
FIRST CHOICE COMMUNITY BANK,58539,10361,"DALLAS, GA",4/29/2011,DIF,PA ,NM ,FAILURE,"294,769","291,196","105,180"
NEW HORIZONS BANK,57705,10355,"EAST ELLIJAY, GA",4/15/2011,DIF,PA ,NM ,FAILURE,"99,022","103,055","34,732"
SUPERIOR BANK,17750,10358,"BIRMINGHAM, AL",4/15/2011,DIF,PA ,SA ,FAILURE,"2,736,201","2,977,290","323,186"
HERITAGE BANKING GROUP,14273,10354,"CARTHAGE, MS",4/15/2011,DIF,PA ,NM ,FAILURE,"205,035","228,328","38,173"
NEXITY BANK,19794,10356,"BIRMINGHAM, AL",4/15/2011,DIF,PA ,NM ,FAILURE,"611,681","757,574","180,152"
BARTOW COUNTY BANK,21495,10353,"CARTERSVILLE, GA",4/15/2011,DIF,PA ,NM ,FAILURE,"290,005","314,019","85,550"
ROSEMOUNT NATIONAL BANK,24099,10357,"ROSEMOUNT, MN",4/15/2011,DIF,PA ,N ,FAILURE,"20,980","21,454","5,398"
NEVADA COMMERCE BANK,35418,10351,"LAS VEGAS, NV",4/8/2011,DIF,PA ,NM ,FAILURE,"128,573","135,064","40,024"
WESTERN SPRINGS NATIONAL BANK AND TRUST,10086,10352,"WESTERN SPRINGS, IL",4/8/2011,DIF,PA ,N ,FAILURE,"182,441","186,677","38,547"
THE BANK OF COMMERCE,34292,10350,"WOOD DALE, IL",3/25/2011,DIF,PA ,NM ,FAILURE,"161,379","163,074","44,438"
LEGACY BANK,34818,10348,"MILWAUKEE, WI",3/11/2011,DIF,PA ,SM ,FAILURE,"183,309","190,418","76,731"
THE FIRST NATIONAL BANK OF DAVIS,4077,10349,"DAVIS, OK",3/11/2011,DIF,PA ,N ,FAILURE,"68,331","90,183","33,812"
VALLEY COMMUNITY BANK,34187,10347,"ST. CHARLES, IL",2/25/2011,DIF,PA ,NM ,FAILURE,"124,179","123,774","28,270"
"SAN LUIS TRUST BANK, FSB",34783,10346,"SAN LUIS OBISPO, CA",2/18/2011,DIF,PA ,SA ,FAILURE,"272,216","332,596","72,906"
CITIZENS BANK OF EFFINGHAM,34601,10344,"SPRINGFIELD, GA",2/18/2011,DIF,PA ,NM ,FAILURE,"206,490","214,275","48,619"
HABERSHAM BANK,151,10345,"CLARKESVILLE, GA",2/18/2011,DIF,PA ,NM ,FAILURE,"339,934","387,681","119,453"
CHARTER OAK BANK,57855,10343,"NAPA, CA",2/18/2011,DIF,PA ,NM ,FAILURE,"105,309","120,833","21,544"
